Date,EMA_long,BB_middle,BB_upper,OBV,BB_lower,ATR,EMA_short,MACD_signal,ADX,wavelet_cA
2017-05-02,15.476499494217736,14.949009561538697,16.0829977917836,-10952600.0,13.815021331293792,0.6479998069490673,14.994036517348688,-0.3787951558483534,19.27786286963236,21.460983746467605
2017-05-03,15.464684107701808,14.920123529434203,15.99881155811192,-3143800.0,13.841435500756486,0.6291411310068852,15.010506573777128,-0.3538421980311688,18.370036440801027,20.18139466051173
2017-05-04,15.416429548505876,14.852298641204834,15.924369132633636,-11107400.0,13.780228149776033,0.6518040889123027,14.939932598725166,-0.3400995318810006,18.572449453552853,19.388306935235725
2017-05-05,15.349495186197071,14.765571355819702,15.910272976805036,-18834100.0,13.620869734834368,0.6539199204152926,14.82808448153482,-0.3416980367120786,19.55116336573341,19.903083721455666
2017-05-08,15.300031530225551,14.66794137954712,15.687138253084376,-14547500.0,13.648744506009862,0.6535666898048859,14.760819706751958,-0.3460096533995034,19.97191654480156,19.90838825626693
2017-05-09,15.252083483491257,14.601171827316284,15.590990253169409,-19099700.0,13.61135340146316,0.6346965556041743,14.698686673274596,-0.3511797048817804,20.36261592536485,20.2540267661546
2017-05-10,15.215983743265207,14.561242008209229,15.52661369017354,-15119700.0,13.595870326244915,0.6198784952856139,14.665309712770274,-0.3517610208541493,19.991636892308936,20.313741135204463
2017-05-11,15.182571992861522,14.516654205322263,15.430605403888276,-10587200.0,13.602703006756254,0.6092090628631642,14.637916475970355,-0.3481163731680514,19.40543237217354,20.137251276082367
2017-05-12,15.145380653855408,14.468716859817505,15.33508819521786,-14000800.0,13.602345524417151,0.58616771024359,14.60121432799174,-0.3432913478999436,18.861099603476383,19.816609278949613
2017-05-15,15.100952345910862,14.41937494277954,15.2715439328978,-17856600.0,13.56720595266128,0.5813829306600949,14.54769109828972,-0.3407346274221861,18.7413137364776,20.36080147395796
2017-05-16,15.073960475290066,14.422490882873536,15.27408293840955,-10474800.0,13.570898827337524,0.5684413530280193,14.535415511634342,-0.3325720900879848,18.630084002835872,20.849123448119077
2017-05-17,15.060964243786945,14.442101669311525,15.304144580479283,-3424800.0,13.58005875814376,0.5575831770647417,14.554246517118534,-0.3153025171866433,17.60190868287252,20.540259710634597
2017-05-18,15.039570238108986,14.450093841552734,15.311743475911936,-8866800.0,13.58844420719353,0.5505908881802953,14.55071657001676,-0.2961353697880043,16.57876816741887,20.543191275896078
2017-05-19,15.01943924282622,14.48008394241333,15.307825804600531,11284400.0,13.652342080226129,0.6039737040246488,14.548490505324184,-0.2759361693245858,17.092289790274652,20.82999896820693
2017-05-22,15.008369046581524,14.519050073623657,15.317642036301482,17777100.0,13.720458110945833,0.6037115991964336,14.565641299257116,-0.2521549635898368,16.915942675737863,21.353910520762653
2017-05-23,15.01194261079723,14.540022230148317,15.375599116648026,25765800.0,13.704445343648604,0.608876204104493,14.614173447877564,-0.2210195503342316,16.529816442575882,21.60394473747448
2017-05-24,15.0225868602436,14.561925029754638,15.449698953943454,31231200.0,13.674151105565825,0.611740462394278,14.675009586405029,-0.1834694490401663,15.955929833650192,21.047972953743045
2017-05-25,15.01711931301141,14.539481067657473,15.369029152410132,26903300.0,13.70993298290481,0.6062882671255301,14.69393275180664,-0.1498340819481419,15.42303512536205,21.180348128909586
2017-05-26,15.015683793783232,14.538669872283936,15.366457672090714,30902600.0,13.710882072477158,0.5934992885596712,14.719985553705389,-0.1185209646535846,15.05512173743407,21.30801833470569
2017-05-29,15.017697929639484,14.566521739959716,15.425475359519409,33859600.0,13.707568120400024,0.5738978836712361,14.751536345015596,-0.0886541940928188,14.713487877215227,21.30801833470569
2017-05-30,15.019633079775884,14.577067613601685,15.45495530603904,33859600.0,13.69917992116433,0.5329051776947192,14.780218882570331,-0.0610575702684579,14.396256435583451,21.873990493094716
2017-05-31,15.037186567207314,14.591669607162476,15.51728487325423,36935300.0,13.666054341070724,0.5350152497262299,14.84267598499824,-0.0298063273491345,14.002295566897557,20.822374391460407
2017-06-01,15.0237237547501,14.614654207229616,15.526346105832094,27483100.0,13.702962308627136,0.5636288460686173,14.82914951813916,-0.0101732887073811,13.603190487077482,20.39787433702712
2017-06-02,15.000184598309032,14.650347805023191,15.468621865706432,20575600.0,13.832073744339954,0.5573636263959426,14.792270040626777,-0.0031425517515593,13.61399338116312,20.478772871015
2017-06-05,14.979901607409984,14.670087623596192,15.451374151034235,23183300.0,13.888801096158147,0.5407296468412441,14.764151703331914,-0.0034229165796711,13.724150117597988,20.2602099171486
2017-06-06,14.954263576557778,14.68252639770508,15.43298278495008,19722400.0,13.932070010460077,0.523738687935558,14.724331713999804,-0.0107654745721993,14.001565485408616,20.32639231751522
