Date,Model_strategy_realistic,Model_strategy_simple,Buy_and_Hold
2024-01-02,100000.0,100000.0,100000.0
2024-01-03,100000.0,100000.0,100113.41426006927
2024-01-04,100000.0,100000.0,98738.72692720917
2024-01-05,100000.0,100000.0,100890.4210714347
2024-01-08,100000.0,100000.0,100113.41426006927
2024-01-09,100000.0,100000.0,97423.79332487228
2024-01-10,100000.0,100000.0,95750.25922143474
2024-01-11,100000.0,100000.0,95272.09918064675
2024-01-12,100000.0,100000.0,94495.09887911139
2024-01-15,100000.0,100000.0,94853.7319293626
2024-01-16,100000.0,100000.0,94016.95185798363
2024-01-17,100000.0,100000.0,94196.25861836407
2024-01-18,100000.0,100000.0,93658.32531756253
2024-01-19,100000.0,100000.0,93479.01855718208
2024-01-22,100000.0,100000.0,92403.18450472952
2024-01-23,100000.0,100000.0,91925.02446394153
2024-01-24,100000.0,100000.0,91566.41094318064
2024-01-25,100000.0,100000.0,91805.49096357464
2024-01-26,100000.0,100000.0,92761.80453532051
2024-01-29,100000.0,100000.0,91925.02446394153
2024-01-30,100000.0,100000.0,91267.56417260318
2024-01-31,100000.0,100000.0,91745.71770356108
2024-02-01,100000.0,100000.0,91566.41094318064
2024-02-02,100000.0,100000.0,91679.9684195122
2024-02-05,100000.0,100000.0,93535.09423369665
2024-02-06,107137.46181891239,108143.31722044549,99339.9162471298
2024-02-07,91867.73744583136,90944.62339557504,83541.28117622735
2024-02-08,89508.16732850851,88338.75682935098,81147.54503891057
2024-02-09,88914.28770004147,87687.3025895629,80549.12239678403
2024-02-14,88826.98579991572,87687.29581146597,80010.50556382157
2024-02-15,88826.98579991572,87687.29581146597,80369.58779234995
2024-02-16,88826.98579991572,87687.29581146597,80668.79911341322
2024-02-19,88826.98579991572,87687.29581146597,81686.12932272248
2024-02-20,88826.98579991572,87687.29581146597,83601.12604437204
2024-02-21,88826.98579991572,87687.29581146597,83301.90170364859
2024-02-22,88826.98579991572,87687.29581146597,83780.66064880612
2024-02-23,88826.98579991572,87687.29581146597,82703.47255169196
2024-02-26,88826.98579991572,87687.29581146597,82583.78932523268
2024-02-27,88826.98579991572,87687.29581146597,83900.3373654353
2024-02-28,88826.98579991572,87687.29581146597,83541.28117622735
2024-02-29,88826.98579991572,87687.29581146597,82284.55847467911
2024-03-01,88826.98579991572,87687.29581146597,82583.78932523268
2024-03-04,88826.98579991572,87687.29581146597,81798.5996574267
2024-03-05,88826.98579991572,87687.29581146597,82218.0865994887
2024-03-06,88826.98579991572,87687.29581146597,82817.3424998685
2024-03-07,88826.98579991572,87687.29581146597,82457.79156357265
2024-03-08,88826.98579991572,87687.29581146597,82937.20149174059
2024-03-11,88826.98579991572,87687.29581146597,83416.5984002483
2024-03-12,88826.98579991572,87687.29581146597,84435.3282230299
2024-03-13,88826.98579991572,87687.29581146597,85334.21207359961
2024-03-14,88826.98579991572,87687.29581146597,85873.56451736379
2024-03-15,88826.98579991572,87687.29581146597,84555.18070507189
2024-03-18,88826.98579991572,87687.29581146597,85094.52012917586
2024-03-19,88826.98579991572,87687.29581146597,84615.09718134772
2024-03-20,88826.98579991572,87687.29581146597,85693.78904921588
2024-03-21,88826.98579991572,87687.29581146597,84734.97570271013
2024-03-22,88826.98579991572,87687.29581146597,83656.30336433227
2024-03-25,88826.98579991572,87687.29581146597,83536.44437246019
2024-03-26,88740.4569305387,87687.31319387685,84734.97570271013
2024-03-27,89991.81274510008,89051.59173791866,86053.32045602142
2024-03-28,89394.85038853268,88431.46328972353,85454.0710654717
2024-04-01,88618.79219151121,87625.28889675961,84675.03969694398
2024-04-02,89086.47742919241,88115.70323167217,85148.94230884404
2024-04-03,90803.72476154106,89854.42475460688,86829.12294881762
2024-04-04,91365.44742160577,90413.2901466508,87369.17194440293
2024-04-05,91268.0052541455,90413.3082972834,87129.15450847396
2024-04-08,91268.0052541455,90413.3082972834,87729.22413761677
